timestamp,product,store,baseline_price,current_price,price_change_pct,inflation_rate_pct,month,currency
2025-01-28T17:59:00,ail,Auchan,2.64,2.76,4.68,2.2,Apr-2025,EUR
2025-01-06T10:37:00,ail,Auchan,2.64,2.75,4.3,2.2,Apr-2025,EUR
2025-01-18T09:19:00,bacon,Auchan,7.67,7.49,-2.32,2.2,Apr-2025,EUR
2025-01-20T10:49:00,bacon,Auchan,7.67,7.45,-2.84,2.2,Apr-2025,EUR
2025-01-22T09:02:00,beurre,Auchan,4.18,4.07,-2.71,2.2,Apr-2025,EUR
2025-01-25T11:51:00,beurre,Auchan,4.18,4.08,-2.47,2.2,Apr-2025,EUR
2025-01-20T12:28:00,beurre,Auchan,4.18,4.02,-3.9,2.2,Apr-2025,EUR
2025-01-16T13:56:00,biscuits,Auchan,2.78,2.7,-2.98,2.2,Apr-2025,EUR
2025-01-12T16:25:00,biscuits,Auchan,2.78,2.72,-2.26,2.2,Apr-2025,EUR
2025-01-24T16:38:00,biscuits,Auchan,2.78,2.71,-2.62,2.2,Apr-2025,EUR
2025-01-23T20:47:00,bonbons,Auchan,3.4,3.62,6.61,2.2,Apr-2025,EUR
2025-01-09T18:58:00,bonbons,Auchan,3.4,3.65,7.5,2.2,Apr-2025,EUR
2025-01-23T20:24:00,cacahuetes,Auchan,4.21,4.08,-3.19,2.2,Apr-2025,EUR
2025-01-16T17:02:00,cacahuetes,Auchan,4.21,4.05,-3.9,2.2,Apr-2025,EUR
2025-01-02T14:25:00,cafe,Auchan,4.03,3.9,-3.14,2.2,Apr-2025,EUR
2025-01-06T13:15:00,cafe,Auchan,4.03,3.91,-2.9,2.2,Apr-2025,EUR
2025-01-10T18:17:00,cafe,Auchan,4.03,3.9,-3.14,2.2,Apr-2025,EUR
2025-01-01T10:54:00,carrots,Auchan,1.78,1.73,-2.74,2.2,Apr-2025,EUR
2025-01-25T20:39:00,carrots,Auchan,1.78,1.72,-3.3,2.2,Apr-2025,EUR
2025-01-08T12:12:00,carrots,Auchan,1.78,1.72,-3.3,2.2,Apr-2025,EUR
2025-01-03T18:22:00,chips,Auchan,2.79,2.71,-2.87,2.2,Apr-2025,EUR
2025-01-19T10:48:00,chips,Auchan,2.79,2.71,-2.87,2.2,Apr-2025,EUR
2025-01-09T16:16:00,chips,Auchan,2.79,2.69,-3.58,2.2,Apr-2025,EUR
2025-01-25T12:52:00,chips,Auchan,2.79,2.71,-2.87,2.2,Apr-2025,EUR
2025-01-03T13:14:00,chocolat,Auchan,3.44,3.36,-2.44,2.2,Apr-2025,EUR
2025-01-17T12:42:00,chocolat,Auchan,3.44,3.37,-2.14,2.2,Apr-2025,EUR
2025-01-22T11:55:00,creme,Auchan,3.12,3.01,-3.4,2.2,Apr-2025,EUR
2025-01-23T16:06:00,creme,Auchan,3.12,3.02,-3.08,2.2,Apr-2025,EUR
2025-01-15T10:51:00,creme,Auchan,3.12,3.0,-3.72,2.2,Apr-2025,EUR
2025-01-06T16:43:00,creme,Auchan,3.12,3.01,-3.4,2.2,Apr-2025,EUR
2025-01-12T15:36:00,epinards,Auchan,2.69,2.62,-2.72,2.2,Apr-2025,EUR
2025-01-12T20:53:00,epinards,Auchan,2.69,2.59,-3.84,2.2,Apr-2025,EUR
2025-01-28T12:50:00,epinards,Auchan,2.69,2.62,-2.72,2.2,Apr-2025,EUR
2025-01-03T11:06:00,essuie-tout,Auchan,3.11,2.99,-3.82,2.2,Apr-2025,EUR
2025-01-12T16:03:00,essuie-tout,Auchan,3.11,2.99,-3.82,2.2,Apr-2025,EUR
2025-01-11T15:48:00,farine-de-ble,Auchan,1.64,1.58,-3.57,2.2,Apr-2025,EUR
2025-01-15T12:59:00,farine-de-ble,Auchan,1.64,1.59,-2.96,2.2,Apr-2025,EUR
2025-01-17T09:00:00,farine-de-ble,Auchan,1.64,1.59,-2.96,2.2,Apr-2025,EUR
2025-01-06T19:16:00,fromage,Auchan,5.86,5.63,-3.85,2.2,Apr-2025,EUR
2025-01-14T11:14:00,fromage,Auchan,5.86,5.72,-2.31,2.2,Apr-2025,EUR
2025-01-05T08:04:00,haricots,Auchan,3.11,3.01,-3.33,2.2,Apr-2025,EUR
2025-01-07T15:56:00,haricots,Auchan,3.11,3.01,-3.33,2.2,Apr-2025,EUR
